Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"August, 2008 ",Report Creation Timestamp (EPT):, 07/29/2010 05:21:53 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/09/2008 19,08/09/2008 23,0.43,87136.245,5151.7,2215.26,5151.7
08/09/2008 20,08/10/2008 00,0.25,84251.956,5097.7,1274.53,5097.7
08/09/2008 21,08/10/2008 01,0.38,83088.142,5094.8,1936.03,5094.8
08/09/2008 22,08/10/2008 02,0.25,81909.843,5119.7,1280.09,5119.7
08/09/2008 23,08/10/2008 03,0.25,77247.128,5086.3,1271.73,5086.3
08/09/2008 24,08/10/2008 04,0.25,71736.148,4882,1220.71,4882
08/10/2008 01,08/10/2008 05,0.25,66431.741,4742.7,1185.83,4742.7
08/10/2008 02,08/10/2008 06,0.25,62485.398,4892.5,1223.31,4892.5
08/10/2008 03,08/10/2008 07,0.25,59837.517,4951.6,1238.13,4951.6
08/10/2008 04,08/10/2008 08,0.25,58040.575,4952.2,1238.24,4952.2
08/10/2008 05,08/10/2008 09,0.25,57150.276,4882.2,1220.7,4882.2
08/10/2008 06,08/10/2008 10,0.25,57197.017,4921.3,1230.59,4921.3
08/10/2008 07,08/10/2008 11,0.25,57301.094,4851.5,1213.02,4851.5
08/10/2008 08,08/10/2008 12,0.25,59106.238,4905.4,1226.56,4905.4
08/10/2008 09,08/10/2008 13,0.25,63851.822,4841.3,1210.54,4841.3
08/10/2008 10,08/10/2008 14,0.25,69409.153,4901.3,1225.47,4901.3
08/10/2008 11,08/10/2008 15,0.25,73702.555,4831.7,1208.16,4831.7
08/10/2008 12,08/10/2008 16,0.25,77119.5,4855.5,1214.11,4855.5
08/10/2008 13,08/10/2008 17,0.25,79122.741,4896.7,1224.41,4896.7
08/10/2008 14,08/10/2008 18,0.25,80343.402,4835.5,1209.12,4835.5
08/10/2008 15,08/10/2008 19,0.25,81031.174,4830.8,1207.94,4830.8
08/10/2008 16,08/10/2008 20,0.38,81269.638,4879.8,1854.31,4879.8
08/10/2008 17,08/10/2008 21,0.43,81311.624,4935,2122.08,4935
08/10/2008 18,08/10/2008 22,0.43,81331.245,4880,2098.42,4880
08/10/2008 19,08/10/2008 23,0.25,80336.996,4825.1,1206.51,4825.1
08/10/2008 20,08/11/2008 00,0.25,78699.575,4902.6,1225.91,4902.6
08/10/2008 21,08/11/2008 01,0.25,78755.072,4895.5,1224.12,4895.5
08/10/2008 22,08/11/2008 02,0.25,78053.281,4838.2,1209.72,4838.2
08/10/2008 23,08/11/2008 03,0.25,74012.384,4838,1209.69,4838
08/10/2008 24,08/11/2008 04,0.25,68869.83,4815.7,1204.07,4815.7
08/11/2008 01,08/11/2008 05,0.25,64035.666,5290.4,1322.75,5290.4
08/11/2008 02,08/11/2008 06,0.25,60855.954,5380,1345.19,5380
08/11/2008 03,08/11/2008 07,0.25,59262.146,5381.4,1345.56,5381.4
08/11/2008 04,08/11/2008 08,0.25,58502.14,5379.8,1345.14,5379.8
08/11/2008 05,08/11/2008 09,0.25,59288.735,5379.9,1345.23,5379.9
08/11/2008 06,08/11/2008 10,0.25,62278.975,5380.5,1345.38,5380.5
08/11/2008 07,08/11/2008 11,0.25,66998.93,5431.7,1358.12,5431.7
08/11/2008 08,08/11/2008 12,0.25,71960.053,5434.5,1358.87,5434.5
08/11/2008 09,08/11/2008 13,0.25,77155.418,5429.1,1357.43,5429.1
08/11/2008 10,08/11/2008 14,0.25,81448.354,5413.6,1353.63,5413.6
08/11/2008 11,08/11/2008 15,0.25,84743.358,5446.5,1361.81,5446.5
08/11/2008 12,08/11/2008 16,0.25,86905.945,5400.8,1350.38,5400.8
08/11/2008 13,08/11/2008 17,0.43,88558.055,5383,2314.72,5383
08/11/2008 14,08/11/2008 18,0.43,89707.926,5382.5,2314.48,5382.5
08/11/2008 15,08/11/2008 19,0.43,90535.861,5401.6,2322.69,5401.6
08/11/2008 16,08/11/2008 20,0.43,91054.555,5426.8,2333.51,5426.8
08/11/2008 17,08/11/2008 21,0.43,91546.008,5426.7,2333.48,5426.7
08/11/2008 18,08/11/2008 22,0.43,91271.323,5446.7,2342.08,5446.7
08/11/2008 19,08/11/2008 23,0.43,89255.549,5446.9,2342.2,5446.9
08/11/2008 20,08/12/2008 00,0.25,86370.993,5442.2,1360.83,5442.2
08/11/2008 21,08/12/2008 01,0.25,86042.572,5446.5,1361.85,5446.5
08/11/2008 22,08/12/2008 02,0.25,84717.064,5447,1361.89,5447
08/11/2008 23,08/12/2008 03,0.25,78725.942,5429,1357.49,5429
08/11/2008 24,08/12/2008 04,0.25,71915.557,5232.8,1308.46,5232.8
08/12/2008 01,08/12/2008 05,0.25,66314.692,5560.4,1390.26,5560.4
08/12/2008 02,08/12/2008 06,0.25,62664.227,5739.3,1434.97,5739.3
08/12/2008 03,08/12/2008 07,0.25,60577.372,5739.5,1435.05,5739.5
08/12/2008 04,08/12/2008 08,0.25,59425.982,5740.7,1435.39,5740.7
08/12/2008 05,08/12/2008 09,0.25,59845.136,5739.5,1435,5739.5
08/12/2008 06,08/12/2008 10,0.25,62892.025,5740,1435.17,5740
08/12/2008 07,08/12/2008 11,0.25,67621.741,5724.2,1431.23,5724.2
08/12/2008 08,08/12/2008 12,0.25,72643.362,5724,1431.11,5724
08/12/2008 09,08/12/2008 13,0.25,77675.622,5716.8,1429.42,5716.8
08/12/2008 10,08/12/2008 14,0.25,81731.749,5663.7,1416.02,5663.7
08/12/2008 11,08/12/2008 15,0.25,85510.796,5640.1,1410.2,5640.1
08/12/2008 12,08/12/2008 16,0.38,88596.275,5656.3,2149.37,5656.3
08/12/2008 13,08/12/2008 17,0.43,90830.66,5668.2,2437.35,5668.2
08/12/2008 14,08/12/2008 18,0.43,93192.046,5713.7,2456.91,5713.7
08/12/2008 15,08/12/2008 19,0.43,95100.772,5713.4,2456.76,5713.4
08/12/2008 16,08/12/2008 20,0.43,96396.377,5718.4,2458.91,5718.4
08/12/2008 17,08/12/2008 21,0.5,97599.294,5743.5,2871.75,5743.5
08/12/2008 18,08/12/2008 22,0.44,97349.316,5743.5,2527.15,5743.5
08/12/2008 19,08/12/2008 23,0.43,95246.898,5723.7,2461.21,5723.7
08/12/2008 20,08/13/2008 00,0.38,91857.096,5628.6,2138.88,5628.6
08/12/2008 21,08/13/2008 01,0.43,91229.241,5733.5,2465.44,5733.5
08/12/2008 22,08/13/2008 02,0.37,89748.322,5655.7,2092.61,5655.7
08/12/2008 23,08/13/2008 03,0.25,83227.987,5647.9,1412.19,5647.9
08/12/2008 24,08/13/2008 04,0.25,76002.697,5322.9,1330.82,5322.9
08/13/2008 01,08/13/2008 05,0.25,69980.835,5433.8,1358.57,5433.8
