Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 02:49:46 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/12/2008 02,11/12/2008 07,0.1,64956.487,5199.9,519.99,5199.9
11/12/2008 03,11/12/2008 08,0.1,63885.75,5165.3,516.53,5165.3
11/12/2008 04,11/12/2008 09,0.1,63837.744,5177.8,517.78,5177.8
11/12/2008 05,11/12/2008 10,0.1,65243.54,5193.7,519.37,5193.7
11/12/2008 06,11/12/2008 11,0.1,69875.749,5241.701,524.17,5241.701
11/12/2008 07,11/12/2008 12,0.1,78008.854,5173.9,517.39,5173.9
11/12/2008 08,11/12/2008 13,0.19,82051.176,5269.4,1001.17,5269.4
11/12/2008 09,11/12/2008 14,0.1,82566.146,5284,528.4,5284
11/12/2008 10,11/12/2008 15,0.1,82199.293,5284.1,528.41,5284.1
11/12/2008 11,11/12/2008 16,0.1,81755.03,5284.5,528.45,5284.5
11/12/2008 12,11/12/2008 17,0.1,80890.579,5283.9,528.39,5283.9
11/12/2008 13,11/12/2008 18,0.1,79781.907,5257.6,525.76,5257.6
11/12/2008 14,11/12/2008 19,0.1,79213.185,5193.8,519.38,5193.8
11/12/2008 15,11/12/2008 20,0.1,78535.521,5187.7,518.77,5187.7
11/12/2008 16,11/12/2008 21,0.1,78467.695,5163.6,516.36,5163.6
11/12/2008 17,11/12/2008 22,0.1,80881.288,5172.1,517.21,5172.1
11/12/2008 18,11/12/2008 23,0.19,86329.567,5219.7,991.75,5219.7
11/12/2008 19,11/13/2008 00,0.22,87247.82,5272.2,1159.89,5272.2
11/12/2008 20,11/13/2008 01,0.1,85936.54,5272.3,527.23,5272.3
11/12/2008 21,11/13/2008 02,0.1,84026.492,5272.3,527.23,5272.3
11/12/2008 22,11/13/2008 03,0.1,80375.221,5272.2,527.22,5272.2
11/12/2008 23,11/13/2008 04,0.1,74688.383,5171.9,517.19,5171.9
11/12/2008 24,11/13/2008 05,0.1,69053.107,5166,516.6,5166
11/13/2008 01,11/13/2008 06,0,64673.342,4862.2,0,4862.2
11/13/2008 02,11/13/2008 07,0,62399.191,4923.4,0,4923.4
11/13/2008 03,11/13/2008 08,0,61338.008,4937.4,0,4937.4
11/13/2008 04,11/13/2008 09,0,61096.791,4938.5,0,4938.5
11/13/2008 05,11/13/2008 10,0,62303.176,4936.3,0,4936.3
11/13/2008 06,11/13/2008 11,0,66773.952,4957.5,0,4957.5
11/13/2008 07,11/13/2008 12,0.1,74872.04,4913.5,491.35,4913.5
11/13/2008 08,11/13/2008 13,0.1,79562.146,4907.5,490.75,4907.5
11/13/2008 09,11/13/2008 14,0.1,80379.734,4972.3,497.23,4972.3
